gene,note,LB_22hr_OD600,MOPS_24hr_OD600,MOPS_48hr_OD600,EssentialityScore
thrL,b0001,0.848,0.355,0.542,-2.5
thrA,b0002,0.793,0.023,0.04,-3
thrB,b0003,0.682,0.004,0.01,-2.5
thrC,b0004,0.625,0,0,-3
yaaX,b0005,0.836,0.382,0.469,-2
yaaA,b0006,0.784,0.376,0.396,-2
yaaJ,b0007,0.767,0.271,0.274,-2
talB,b0008,0.788,0.254,0.169,-3
mog,b0009,0.587,0.185,0.121,-2
yaaH,b0010,0.801,0.27,0.283,-2
yaaW,b0011,0.809,0.458,0.509,-2
htgA,b0012,0.759,0.343,0.386,-2.5
yaaI,b0013,0.779,0.388,0.41,-3
dnaK,b0014,0.465,0.261,0.276,-2
dnaJ,b0015,0.506,0.248,0.279,-3
insL,b0016,NA,NA,NA,-1.5
hokC,b4412,0.712,0.429,0.474,-2.5
nhaA,b0019,0.485,0.287,0.331,-3
nhaR,b0020,0.738,0.329,0.398,-3
insB,b0021,NA,NA,NA,-0.5
insA,b0022,NA,NA,NA,0.5
rpsT,b0023,0.925,0.268,0.265,-2
yaaY,b0024,0.744,0.375,0.464,-1.5
ribF,b0025,NA,NA,NA,1
ileS,b0026,0.575,0.311,0.333,0
lspA,b0027,NA,NA,NA,3
fkpB,b0028,0.691,0.154,0.147,-2
ispH,b0029,NA,NA,NA,3
rihC,b0030,0.803,0.23,0.263,-3
dapB,b0031,NA,NA,NA,1
carA,b0032,0.663,0.003,0.002,-3
carB,b0033,0.489,0,0,-3
none,none,0.829,0.415,0.468,-1.5
caiF,b0034,0.768,0.245,0.315,-3
caiE,b0035,0.796,0.326,0.361,-3
caiD,b0036,0.688,0.168,0.104,-3
caiC,b0037,0.748,0.345,0.378,-3
caiB,b0038,0.736,0.409,0.419,-3
caiA,b0039,0.72,0.348,0.35,-3
caiT,b0040,0.697,0.217,0.106,-3
fixA,b0041,0.788,0.252,0.429,-3
fixB,b0042,0.643,0.244,0.285,-3
fixC,b0043,0.674,0.229,0.265,-3
fixX,b0044,0.759,0.301,0.34,-3
yaaU,b0045,0.768,0.341,0.391,-3
kefF,b0046,0.758,0.156,0.142,-3
kefC,b0047,0.756,0.363,0.424,-3
folA,b0048,NA,NA,NA,1
apaH,b0049,0.504,0.297,0.35,-3
apaG,b0050,0.63,0.258,0.139,-3
ksgA,b0051,0.764,0.282,0.286,-3
pdxA,b0052,0.709,0.008,0.006,-3
surA,b0053,0.366,0.255,0.251,-3
imp,b0054,NA,NA,NA,3
djlA,b0055,0.786,0.274,0.32,-3
yabP,b0056,0.617,0.242,0.263,-2
yabQ,b0057,NA,NA,NA,1
rluA,b0058,0.643,0.317,0.425,-3
hepA,b0059,0.812,0.4,0.5,-3
polB,b0060,0.722,0.401,0.404,-3
araD,b0061,NA,NA,NA,-1.5
araA,b0062,NA,NA,NA,-1.5
araB,b0063,NA,NA,NA,-1.5
araC,b0064,0.759,0.3,0.317,-3
yabI,b0065,0.795,0.29,0.318,-3
thiQ,b0066,0.872,0.208,0.449,-4
thiP,b0067,0.712,0.303,0.308,-4
tbpA,b0068,0.772,0.373,0.389,-3
sgrR,b0069,0.789,0.32,0.308,-4
setA,b0070,0.695,0.288,0.287,-3
leuD,b0071,0.769,0.032,0.032,-3
leuC,b0072,0.761,0.025,0.015,-3
leuB,b0073,0.726,0.018,0.033,-3
leuA,b0074,0.779,0.026,0.034,-3
leuL,b0075,0.761,0.031,0.033,-3
leuO,b0076,0.756,0.369,0.4,-3
ilvI,b0077,0.765,0.142,0.282,-3
ilvH,b0078,0.769,0.189,0.213,-3
fruR,b0080,0.627,0.259,0.28,-3
mraZ,b0081,0.808,0.248,0.313,-3
mraW,b0082,0.909,0.27,0.251,-1
ftsL,b0083,NA,NA,NA,3
ftsI,b0084,NA,NA,NA,3
murE,b0085,NA,NA,NA,3
murF,b0086,NA,NA,NA,2
mraY,b0087,NA,NA,NA,2
murD,b0088,NA,NA,NA,3
ftsW,b0089,NA,NA,NA,3
murG,b0090,NA,NA,NA,3
murC,b0091,NA,NA,NA,3
ddlB,b0092,0.734,0.27,0.005,-2
ftsQ,b0093,NA,NA,NA,3
ftsA,b0094,NA,NA,NA,3
ftsZ,b0095,NA,NA,NA,3
lpxC,b0096,NA,NA,NA,2.5
secM,b0097,NA,NA,NA,1
secA,b0098,NA,NA,NA,3
mutT,b0099,0.766,0.309,0.368,-3
yacG,b0101,0.688,0.334,0.355,-2.5
yacF,b0102,0.769,0.232,0.334,-2
coaE,b0103,0.869,0.333,0.335,0
guaC,b0104,0.801,0.214,0.228,-3
hofC,b0106,0.731,0.597,0.903,-2
hofB,b0107,0.721,0.378,0.613,-2
ppdD,b0108,0.709,0.268,0.219,-3
nadC,b0109,0.628,0.035,0.114,-3
ampD,b0110,0.805,0.319,0.287,-3
ampE,b0111,0.708,0.238,0.244,-3
aroP,b0112,0.806,0.398,0.64,-3
pdhR,b0113,0.778,0.253,0.203,-3
aceE,b0114,0.834,0.353,0.27,-3
aceF,b0115,0.771,0.091,0.296,-2
lpd,b0116,0.337,0.061,0.138,-2
yacH,b0117,0.742,0.34,0.481,-3
acnB,b0118,0.704,0.331,0.387,-3
yacL,b0119,0.718,0.251,0.33,-3
speD,b0120,0.734,0.274,0.274,-3
speE,b0121,0.867,0.26,0.331,-3
yacC,b0122,0.78,0.332,0.358,-2
cueO,b0123,0.815,0.241,0.262,-2
gcd,b0124,0.801,0.3,0.317,-3
hpt,b0125,0.576,0.254,0.309,-3
can,b0126,NA,NA,NA,3
yadG,b0127,0.736,0.416,0.673,-3
yadH,b0128,0.747,0.324,0.411,-3
yadI,b0129,0.735,0.394,0.465,-2
yadE,b0130,0.781,0.312,0.326,-2
panD,b0131,0.782,0.027,0.033,-3
yadD,b0132,0.805,0.219,0.346,-3
panC,b0133,0.73,0.015,0.046,-3
panB,b0134,0.701,0.012,0.01,-3
yadC,b0135,0.75,0.313,0.31,-2
yadK,b0136,0.834,0.385,0.466,-2
yadL,b0137,0.759,0.46,0.562,-2
yadM,b0138,0.752,0.393,0.447,-2
htrE,b0139,0.745,0.31,0.374,-3
ecpD,b0140,0.817,0.278,0.28,-3
yadN,b0141,0.775,0.347,0.316,-2
folK,b0142,NA,NA,NA,1
pcnB,b0143,0.828,0.391,0.495,-3
yadB,b0144,0.815,0.374,0.408,-2
dksA,b0145,0.603,0.283,0.293,-3
