locus_tag,Protein_id,Salmonella_locus_tag,Salmonella_Protein_id
ECB_00002,YP_003043231.1,STM0002,NP_459007.1
ECB_00003,YP_003043232.1,STM0003,NP_459008.1
ECB_00004,YP_003043233.1,STM0004,NP_459009.1
ECB_00006,YP_003043235.1,STM0005,NP_459010.1
ECB_00007,YP_003043236.1,STM0006,NP_459011.1
ECB_00008,YP_003043237.1,STM0007,NP_459012.1
ECB_00009,YP_003043238.1,STM0008,NP_459013.1
ECB_00010,YP_003043239.1,STM0009,NP_459014.1
ECB_00013,YP_003043242.1,STM0011,NP_459016.1
ECB_00014,YP_003043243.1,STM0012,NP_459017.1
ECB_00015,YP_003043244.1,STM0013,NP_459018.1
ECB_00018,YP_003043248.1,STM0039,NP_459044.1
ECB_00019,YP_003043249.1,STM0040,NP_459045.1
ECB_00027,YP_003043257.1,STM0043,NP_459048.1
ECB_00028,YP_003043258.1,STM0044,NP_459049.1
ECB_00029,YP_003043259.1,STM0045,NP_459050.1
ECB_00030,YP_003043260.1,STM0046,NP_459051.1
ECB_00031,YP_003043261.1,STM0047,NP_459052.1
ECB_00032,YP_003043262.1,STM0048,NP_459053.1
ECB_00033,YP_003043263.1,STM0049,NP_459054.1
ECB_00034,YP_003043264.1,STM0051,NP_459056.1
ECB_00035,YP_003043265.1,STM0064,NP_459069.1
ECB_00036,YP_003043266.1,STM0066,NP_459071.1
ECB_00037,YP_003043267.1,STM0067,NP_459072.1
ECB_00038,YP_003043268.1,STM0068,NP_459073.1
ECB_00039,YP_003043269.1,STM0069,NP_459074.1
ECB_00040,YP_003043270.1,STM0070,NP_459075.1
ECB_00041,YP_003043271.1,STM0071,NP_459076.1
ECB_00043,YP_003043272.1,STM0073,NP_459078.1
ECB_00044,YP_003043273.1,STM0074,NP_459079.1
ECB_00045,YP_003043274.1,STM0075,NP_459080.1
ECB_00046,YP_003043275.1,STM0076,NP_459081.1
ECB_00047,YP_003043276.1,STM0077,NP_459082.1
ECB_00048,YP_003043277.1,STM0078,NP_459083.1
ECB_00049,YP_003043278.1,STM0079,NP_459084.1
ECB_00050,YP_003043279.1,STM0085,NP_459090.1
ECB_00051,YP_003043280.1,STM0086,NP_459091.1
ECB_00052,YP_003043281.1,STM0087,NP_459092.1
ECB_00053,YP_003043282.1,STM0088,NP_459093.1
ECB_00054,YP_003043283.1,STM0089,NP_459094.1
ECB_00055,YP_003043284.1,STM0090,NP_459095.1
ECB_00056,YP_003043285.1,STM0091,NP_459096.1
ECB_00057,YP_003043286.1,STM0092,NP_459097.1
ECB_00058,YP_003043287.1,STM0093,NP_459098.1
ECB_00059,YP_003043288.1,STM0094,NP_459099.1
ECB_00060,YP_003043289.1,STM0095,NP_459100.1
ECB_00061,YP_003043290.1,STM0096,NP_459101.1
ECB_00062,YP_003043291.1,STM0097,NP_459102.1
ECB_00063,YP_003043292.1,STM0101,NP_459106.1
ECB_00064,YP_003043293.1,STM0102,NP_459107.1
ECB_00065,YP_003043294.1,STM0103,NP_459108.1
ECB_00066,YP_003043295.1,STM0104,NP_459109.1
ECB_00067,YP_003043296.1,STM0105,NP_459110.1
ECB_00068,YP_003043297.1,STM0106,NP_459111.1
ECB_00069,YP_003043298.1,STM0107,NP_459112.1
ECB_00070,YP_003043299.1,STM0108,NP_459113.1
ECB_00071,YP_003043300.1,STM0109,NP_459114.1
ECB_00073,YP_003043302.1,STM0110,NP_459115.1
ECB_00074,YP_003043303.1,STM0111,NP_459116.1
ECB_00075,YP_003043304.1,STM0112,NP_459117.1
ECB_00076,YP_003043305.1,STM0113,NP_459118.1
ECB_00078,YP_003043307.1,STM0115,NP_459120.1
ECB_00079,YP_003043308.1,STM0116,NP_459121.1
ECB_00080,YP_003043309.1,STM0117,NP_459122.1
ECB_00081,YP_003043310.1,STM0118,NP_459123.1
ECB_00082,YP_003043311.1,STM0119,NP_459124.1
ECB_00083,YP_003043312.1,STM0120,NP_459125.1
ECB_00084,YP_003043313.1,STM0121,NP_459126.1
ECB_00086,YP_003043315.1,STM0123,NP_459128.1
ECB_00087,YP_003043316.1,STM0124,NP_459129.1
ECB_00088,YP_003043317.1,STM0125,NP_459130.1
ECB_00089,YP_003043318.1,STM0126,NP_459131.1
ECB_00090,YP_003043319.1,STM0127,NP_459132.1
ECB_00091,YP_003043320.1,STM0128,NP_459133.1
ECB_00092,YP_003043321.1,STM0129,NP_459134.1
ECB_00093,YP_003043322.1,STM0130,NP_459135.1
ECB_00094,YP_003043323.1,STM0131,NP_459136.1
ECB_00095,YP_003043324.1,STM0132,NP_459137.1
ECB_00096,YP_003043325.1,STM0133,NP_459138.1
