locus_tag,gene,genome,mutator,dN,dS
ECB_02202,nuoM,Ara-1_REL10938,TRUE,1,0
ECB_02614,ygcQ,Ara-1_REL10938,TRUE,1,0
ECB_02200,ECB_02200,Ara-1_REL10938,TRUE,1,0
ECB_02208,nuoG,Ara-1_REL10938,TRUE,1,0
ECB_02190,yfbB,Ara-1_REL10938,TRUE,1,0
ECB_03829,yijE,Ara-1_REL10938,TRUE,1,0
ECB_02294,ypdE,Ara-1_REL10938,TRUE,1,0
ECB_04215,hsdM,Ara-1_REL10938,TRUE,1,0
ECB_02296,ypdG,Ara-1_REL10938,TRUE,1,0
ECB_00002,thrA,Ara-1_REL10938,TRUE,1,0
ECB_02924,ygiF,Ara-1_REL10938,TRUE,1,0
ECB_02840,yghG,Ara-1_REL10938,TRUE,1,0
ECB_02842,yghJ,Ara-1_REL10938,TRUE,2,0
ECB_02109,yejE,Ara-1_REL10938,TRUE,2,0
ECB_02663,ygdL,Ara-1_REL10938,TRUE,1,0
ECB_02106,rtn,Ara-1_REL10938,TRUE,1,0
ECB_02669,ptr,Ara-1_REL10938,TRUE,1,0
ECB_00633,nagC,Ara-1_REL10938,TRUE,1,0
ECB_00184,ldcC,Ara-1_REL10938,TRUE,2,0
ECB_02335,amiA,Ara-1_REL10938,TRUE,1,0
ECB_02725,dsbC,Ara-1_REL10938,TRUE,1,0
ECB_02723,prfB,Ara-1_REL10938,TRUE,1,0
ECB_02683,ygeD,Ara-1_REL10938,TRUE,1,0
ECB_02729,ygfY,Ara-1_REL10938,TRUE,1,0
ECB_02684,aas,Ara-1_REL10938,TRUE,1,0
ECB_02685,galR,Ara-1_REL10938,TRUE,0,1
ECB_01327,recE,Ara-1_REL10938,TRUE,0,1
ECB_03749,polA,Ara-1_REL10938,TRUE,1,0
ECB_00135,yadK,Ara-1_REL10938,TRUE,1,0
ECB_00138,htrE,Ara-1_REL10938,TRUE,1,0
ECB_00522,nfrA,Ara-1_REL10938,TRUE,1,0
ECB_03397,yhjX,Ara-1_REL10938,TRUE,1,0
ECB_00457,gcl,Ara-1_REL10938,TRUE,0,1
ECB_03414,yiaA,Ara-1_REL10938,TRUE,1,0
ECB_01699,ydjO,Ara-1_REL10938,TRUE,1,0
ECB_01694,yniA,Ara-1_REL10938,TRUE,1,0
ECB_03550,uhpT,Ara-1_REL10938,TRUE,2,0
ECB_04079,fklB,Ara-1_REL10938,TRUE,1,0
ECB_00357,secF,Ara-1_REL10938,TRUE,1,0
ECB_01518,ydfP,Ara-1_REL10938,TRUE,1,0
ECB_04067,rpsF,Ara-1_REL10938,TRUE,1,0
ECB_02539,emrR,Ara-1_REL10938,TRUE,1,0
ECB_02435,yphA,Ara-1_REL10938,TRUE,1,1
ECB_03720,ECB_03720,Ara-1_REL10938,TRUE,1,0
ECB_01058,pyrC,Ara-1_REL10938,TRUE,1,0
ECB_02878,yghA,Ara-1_REL10938,TRUE,0,1
ECB_03486,waaO,Ara-1_REL10938,TRUE,1,0
ECB_03871,thiC,Ara-1_REL10938,TRUE,1,0
ECB_01606,pdxY,Ara-1_REL10938,TRUE,1,0
ECB_01604,ydgR,Ara-1_REL10938,TRUE,1,0
ECB_00732,ECB_00732,Ara-1_REL10938,TRUE,1,0
ECB_03520,ECB_03520,Ara-1_REL10938,TRUE,1,0
ECB_03521,ECB_03521,Ara-1_REL10938,TRUE,0,1
ECB_02791,mutY,Ara-1_REL10938,TRUE,1,0
ECB_01071,flgD,Ara-1_REL10938,TRUE,1,0
ECB_01173,dhaM,Ara-1_REL10938,TRUE,1,0
ECB_01176,dhaR,Ara-1_REL10938,TRUE,1,0
ECB_03255,pckA,Ara-1_REL10938,TRUE,1,0
ECB_02896,ygiW,Ara-1_REL10938,TRUE,0,1
ECB_03378,bcsC,Ara-1_REL10938,TRUE,2,0
ECB_02654,fucK,Ara-1_REL10938,TRUE,1,0
ECB_03259,yhgF,Ara-1_REL10938,TRUE,1,0
ECB_01109,ycfS,Ara-1_REL10938,TRUE,1,0
ECB_04216,hsdR,Ara-1_REL10938,TRUE,1,0
ECB_01456,ydeN,Ara-1_REL10938,TRUE,0,1
ECB_01452,pqqL,Ara-1_REL10938,TRUE,1,0
ECB_01451,gadB,Ara-1_REL10938,TRUE,1,0
ECB_02157,gyrA,Ara-1_REL10938,TRUE,1,0
ECB_02159,yfaL,Ara-1_REL10938,TRUE,1,0
ECB_04016,yjeK,Ara-1_REL10938,TRUE,1,0
ECB_04251,osmY,Ara-1_REL10938,TRUE,1,0
ECB_04155,fecC,Ara-1_REL10938,TRUE,0,1
ECB_04097,ytfR,Ara-1_REL10938,TRUE,0,1
ECB_02803,yafZ,Ara-1_REL10938,TRUE,0,1
ECB_02660,ygdI,Ara-1_REL10938,TRUE,1,0
