lcl|NC_012967.1_cdsid_YP_003047245.1	lcl|NC_003197.1_prot_NP_463288.1_4286
lcl|NC_012967.1_cdsid_YP_003047297.1	lcl|NC_003197.1_prot_NP_463340.1_4334
lcl|NC_012967.1_cdsid_YP_003044304.1	lcl|NC_003197.1_prot_NP_460162.1_1164
lcl|NC_012967.1_cdsid_YP_003045813.1	lcl|NC_003197.1_prot_NP_461873.1_2871
lcl|NC_012967.1_cdsid_YP_003043288.1	lcl|NC_003197.1_prot_NP_459099.1_95
lcl|NC_012967.1_cdsid_YP_003045262.1	lcl|NC_003197.1_prot_NP_461119.1_2117
lcl|NC_012967.1_cdsid_YP_003044686.1	lcl|NC_003197.1_prot_NP_460483.1_1485
lcl|NC_012967.1_cdsid_YP_003047119.1	lcl|NC_003197.1_prot_NP_463147.1_4145
lcl|NC_012967.1_cdsid_YP_003047028.1	lcl|NC_003197.1_prot_NP_463013.1_4011
lcl|NC_012967.1_cdsid_YP_003046658.1	lcl|NC_003197.1_prot_NP_462612.1_3612
lcl|NC_012967.1_cdsid_YP_003044770.1	lcl|NC_003197.1_prot_NP_460441.1_1444
lcl|NC_012967.1_cdsid_YP_003044053.1	lcl|NC_003197.1_prot_NP_461643.2_2642
lcl|NC_012967.1_cdsid_YP_003047064.1	lcl|NC_003197.1_prot_NP_463054.1_4052
lcl|NC_012967.1_cdsid_YP_003045832.1	lcl|NC_003197.1_prot_NP_461892.2_2891
lcl|NC_012967.1_cdsid_YP_003045645.1	lcl|NC_003197.1_prot_NP_461511.1_2510
lcl|NC_012967.1_cdsid_YP_003045371.1	lcl|NC_003197.1_prot_NP_461238.1_2237
lcl|NC_012967.1_cdsid_YP_003044023.1	lcl|NC_003197.1_prot_NP_459839.1_828
lcl|NC_012967.1_cdsid_YP_003045298.1	lcl|NC_003197.1_prot_NP_461158.1_2157
lcl|NC_012967.1_cdsid_YP_003047009.1	lcl|NC_003197.1_prot_NP_462994.1_3992
lcl|NC_012967.1_cdsid_YP_003044752.1	lcl|NC_003197.1_prot_NP_460463.1_1466
lcl|NC_012967.1_cdsid_YP_003045424.1	lcl|NC_003197.1_prot_NP_461294.1_2294
lcl|NC_012967.1_cdsid_YP_003044378.1	lcl|NC_003197.1_prot_NP_460760.2_1761
lcl|NC_012967.1_cdsid_YP_003047203.1	lcl|NC_003197.1_prot_NP_463216.2_4215
lcl|NC_012967.1_cdsid_YP_003045655.1	lcl|NC_003197.1_prot_NP_461574.1_2575
lcl|NC_012967.1_cdsid_YP_003043276.1	lcl|NC_003197.1_prot_NP_459082.1_79
lcl|NC_012967.1_cdsid_YP_003047101.1	lcl|NC_003197.1_prot_NP_463116.1_4114
lcl|NC_012967.1_cdsid_YP_003046672.1	lcl|NC_003197.1_prot_NP_462627.1_3627
lcl|NC_012967.1_cdsid_YP_003044050.1	lcl|NC_003197.1_prot_NP_461651.1_2650
lcl|NC_012967.1_cdsid_YP_003045744.1	lcl|NC_003197.1_prot_NP_461756.1_2755
lcl|NC_012967.1_cdsid_YP_003045500.1	lcl|NC_003197.1_prot_NP_461360.1_2361
lcl|NC_012967.1_cdsid_YP_003045539.1	lcl|NC_003197.1_prot_NP_461400.1_2401
lcl|NC_012967.1_cdsid_YP_003045661.1	lcl|NC_003197.1_prot_NP_461580.1_2581
lcl|NC_012967.1_cdsid_YP_003047058.1	lcl|NC_003197.1_prot_NP_463047.1_4045
lcl|NC_012967.1_cdsid_YP_003045425.1	lcl|NC_003197.1_prot_NP_461295.1_2295
lcl|NC_012967.1_cdsid_YP_003045108.1	lcl|NC_003197.1_prot_NP_461012.1_2010
lcl|NC_012967.1_cdsid_YP_003046287.1	lcl|NC_003197.1_prot_NP_462276.1_3276
lcl|NC_012967.1_cdsid_YP_003043855.1	lcl|NC_003197.1_prot_NP_459670.1_660
lcl|NC_012967.1_cdsid_YP_003044268.1	lcl|NC_003197.1_prot_NP_460126.1_1126
lcl|NC_012967.1_cdsid_YP_003046058.1	lcl|NC_003197.1_prot_NP_462064.1_3064
lcl|NC_012967.1_cdsid_YP_003043584.1	lcl|NC_003197.1_prot_NP_459406.1_402
lcl|NC_012967.1_cdsid_YP_003045153.1	lcl|NC_003197.1_prot_NP_461054.1_2052
lcl|NC_012967.1_cdsid_YP_003047177.1	lcl|NC_003197.1_prot_NP_463188.1_4187
lcl|NC_012967.1_cdsid_YP_003046076.1	lcl|NC_003197.1_prot_NP_462089.1_3090
lcl|NC_012967.1_cdsid_YP_003044251.1	lcl|NC_003197.1_prot_NP_460109.1_1109
lcl|NC_012967.1_cdsid_YP_003045062.1	lcl|NC_003197.1_prot_NP_460885.1_1883
lcl|NC_012967.1_cdsid_YP_003044865.1	lcl|NC_003197.1_prot_NP_460320.1_1323
lcl|NC_012967.1_cdsid_YP_003045221.1	lcl|NC_003197.1_prot_NP_461088.1_2087
lcl|NC_012967.1_cdsid_YP_003045575.1	lcl|NC_003197.1_prot_NP_461428.1_2429
lcl|NC_012967.1_cdsid_YP_003044416.1	lcl|NC_003197.1_prot_NP_460721.1_1722
lcl|NC_012967.1_cdsid_YP_003044315.1	lcl|NC_003197.1_prot_NP_460173.1_1175
lcl|NC_012967.1_cdsid_YP_003047189.1	lcl|NC_003197.1_prot_NP_463200.1_4199
lcl|NC_012967.1_cdsid_YP_003044919.1	lcl|NC_003197.1_prot_NP_461730.1_2728
lcl|NC_012967.1_cdsid_YP_003044185.1	lcl|NC_003197.1_prot_NP_460050.1_1050
lcl|NC_012967.1_cdsid_YP_003044701.1	lcl|NC_003197.1_prot_NP_460471.1_1473
lcl|NC_012967.1_cdsid_YP_003043777.1	lcl|NC_003197.1_prot_NP_459582.1_574
lcl|NC_012967.1_cdsid_YP_003046155.1	lcl|NC_003197.1_prot_NP_462146.1_3146
lcl|NC_012967.1_cdsid_YP_003046490.1	lcl|NC_003197.1_prot_NP_462465.1_3465
lcl|NC_012967.1_cdsid_YP_003045267.1	lcl|NC_003197.1_prot_NP_461130.1_2128
lcl|NC_012967.1_cdsid_YP_003045667.1	lcl|NC_003197.1_prot_NP_461586.1_2587
lcl|NC_012967.1_cdsid_YP_003045460.1	lcl|NC_003197.1_prot_NP_461333.1_2333
lcl|NC_012967.1_cdsid_YP_003045143.1	lcl|NC_003197.1_prot_NP_461044.1_2042
lcl|NC_012967.1_cdsid_YP_003047224.1	lcl|NC_003197.1_prot_NP_463238.3_4237
lcl|NC_012967.1_cdsid_YP_003043407.1	lcl|NC_003197.1_prot_NP_459232.1_228
lcl|NC_012967.1_cdsid_YP_003045359.1	lcl|NC_003197.1_prot_NP_461225.1_2224
lcl|NC_012967.1_cdsid_YP_003047042.1	lcl|NC_003197.1_prot_NP_463031.1_4029
lcl|NC_012967.1_cdsid_YP_003045698.1	lcl|NC_003197.1_prot_NP_461667.1_2666
lcl|NC_012967.1_cdsid_YP_003047253.1	lcl|NC_003197.1_prot_NP_463262.1_4261
lcl|NC_012967.1_cdsid_YP_003045142.1	lcl|NC_003197.1_prot_NP_461043.1_2041
lcl|NC_012967.1_cdsid_YP_003043331.1	lcl|NC_003197.1_prot_NP_459144.1_140
lcl|NC_012967.1_cdsid_YP_003043665.1	lcl|NC_003197.1_prot_NP_459495.1_489
lcl|NC_012967.1_cdsid_YP_003046858.1	lcl|NC_003197.1_prot_NP_462831.1_3829
lcl|NC_012967.1_cdsid_YP_003046823.1	lcl|NC_003197.1_prot_NP_462794.1_3792
lcl|NC_012967.1_cdsid_YP_003045975.1	lcl|NC_003197.1_prot_NP_462022.1_3022
lcl|NC_012967.1_cdsid_YP_003043923.1	lcl|NC_003197.1_prot_NP_459738.1_728
lcl|NC_012967.1_cdsid_YP_003046456.1	lcl|NC_003197.1_prot_NP_462422.1_3423
lcl|NC_012967.1_cdsid_YP_003044316.1	lcl|NC_003197.1_prot_NP_460174.1_1176
lcl|NC_012967.1_cdsid_YP_003047103.1	lcl|NC_003197.1_prot_NP_463121.1_4119
lcl|NC_012967.1_cdsid_YP_003044847.1	lcl|NC_003197.1_prot_NP_460340.1_1343
lcl|NC_012967.1_cdsid_YP_003043688.1	lcl|NC_003197.1_prot_NP_459518.1_512
lcl|NC_012967.1_cdsid_YP_003044906.1	lcl|NC_003197.1_prot_NP_460277.1_1281
lcl|NC_012967.1_cdsid_YP_003046088.1	lcl|NC_003197.1_prot_NP_462097.1_3098
lcl|NC_012967.1_cdsid_YP_003046154.1	lcl|NC_003197.1_prot_NP_462145.1_3145
lcl|NC_012967.1_cdsid_YP_003046759.1	lcl|NC_003197.1_prot_NP_462736.1_3734
lcl|NC_012967.1_cdsid_YP_003044433.1	lcl|NC_003197.1_prot_NP_460702.1_1704
lcl|NC_012967.1_cdsid_YP_003043403.1	lcl|NC_003197.1_prot_NP_459228.1_224
lcl|NC_012967.1_cdsid_YP_003046333.1	lcl|NC_003197.1_prot_NP_462321.1_3322
lcl|NC_012967.1_cdsid_YP_003044848.1	lcl|NC_003197.1_prot_NP_460339.1_1342
lcl|NC_012967.1_cdsid_YP_003045089.1	lcl|NC_003197.1_prot_NP_459217.1_213
lcl|NC_012967.1_cdsid_YP_003046351.1	lcl|NC_003197.1_prot_NP_462339.1_3340
lcl|NC_012967.1_cdsid_YP_003047083.1	lcl|NC_003197.1_prot_NP_463098.1_4096
lcl|NC_012967.1_cdsid_YP_003046494.1	lcl|NC_003197.1_prot_NP_462470.1_3470
lcl|NC_012967.1_cdsid_YP_003044073.1	lcl|NC_003197.1_prot_NP_459850.1_839
lcl|NC_012967.1_cdsid_YP_003046235.1	lcl|NC_003197.1_prot_NP_462213.1_3213
lcl|NC_012967.1_cdsid_YP_003043656.1	lcl|NC_003197.1_prot_NP_459488.1_482
lcl|NC_012967.1_cdsid_YP_003044330.1	lcl|NC_003197.1_prot_NP_460187.2_1189
lcl|NC_012967.1_cdsid_YP_003045877.1	lcl|NC_003197.1_prot_NP_461933.1_2933
lcl|NC_012967.1_cdsid_YP_003043926.1	lcl|NC_003197.1_prot_NP_459751.1_741
lcl|NC_012967.1_cdsid_YP_003044186.1	lcl|NC_003197.1_prot_NP_460051.1_1051
lcl|NC_012967.1_cdsid_YP_003044696.1	lcl|NC_003197.1_prot_NP_460476.1_1478
lcl|NC_012967.1_cdsid_YP_003043848.1	lcl|NC_003197.1_prot_NP_459662.1_652
