c0888=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003043988.1
ycdW=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044248.1
creB=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003047434.1
c5223=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003047180.1
c3759=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045014.1
adk=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003043651.1
mioC=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003046801.1
yjdE=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003047157.1
mdaA=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044074.1
yohJ=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045263.1
yaeO=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003043416.1
yciU=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044435.1
fabH=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044305.1
sspB=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003046273.1
ygaG=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045731.1
fdnH=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044641.1
yfiP=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045666.1
pabA=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003046396.1
c1106=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044190.1
crcB=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003043815.1
apbA=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003043599.1
ychJ=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044422.1
napF=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045328.1
ycdY=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044250.1
ttdB=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003046117.1
entC=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003043782.1
ycfL=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044318.1
murI=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003047025.1
yohK=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045264.1
yieN=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003046805.1
exo=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045832.1
ycgL=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044370.1
c2289=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045042.1
purR=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044829.1
dsbD=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003047176.1
msrA=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003047260.1
rimI=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003047408.1
yfdY=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045478.1
recR=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003043649.1
ribB=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003046098.1
ygdD=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045846.1
yrfE=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003046433.1
hyaF=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044198.1
ribE=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044833.1
ygbO=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045784.1
yciS=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044467.1
nei=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003043892.1
aroH=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044872.1
moaE=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003043970.1
pdxH=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044808.1
lysC=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003047068.1
ldhA=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003044562.1
pbpG=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003045257.1
yqjD=CFT073-gene	lcl|NC_012967.1_cdsid_YP_003046152.1
