Protein_id,locus_tag,note,length,panortholog
YP_003043230.1,ECB_00001,b0001,66,FALSE
YP_003043231.1,ECB_00002,b0002,2463,TRUE
YP_003043232.1,ECB_00003,b0003,933,TRUE
YP_003043233.1,ECB_00004,b0004,1287,TRUE
YP_003043234.1,ECB_00005,b0005,297,FALSE
YP_003043235.1,ECB_00006,b0006,777,TRUE
YP_003043236.1,ECB_00007,b0007,1431,TRUE
YP_003043237.1,ECB_00008,b0008,954,TRUE
YP_003043238.1,ECB_00009,b0009,588,TRUE
YP_003043239.1,ECB_00010,b0010,567,TRUE
YP_003043242.1,ECB_00013,b0013,405,TRUE
YP_003043243.1,ECB_00014,b0014,1917,FALSE
YP_003043244.1,ECB_00015,b0015,1131,TRUE
YP_003043245.1,ECB_00016,NA,1113,FALSE
YP_003043246.1,ECB_00017,b0018,210,FALSE
YP_003043248.1,ECB_00018,b0019,1167,FALSE
YP_003043249.1,ECB_00019,b0020,906,FALSE
YP_003043250.1,ECB_00020,NA,960,FALSE
YP_003043251.1,ECB_00021,NA,1146,FALSE
YP_003043252.1,ECB_00022,NA,705,FALSE
YP_003043253.1,ECB_00023,NA,276,FALSE
YP_003043254.1,ECB_00024,NA,504,FALSE
YP_003043255.1,ECB_00025,NA,351,FALSE
YP_003043256.1,ECB_00026,NA,165,FALSE
YP_003043257.1,ECB_00027,b0023,264,FALSE
YP_003043258.1,ECB_00028,b0024,219,FALSE
YP_003043259.1,ECB_00029,b0025,942,TRUE
YP_003043260.1,ECB_00030,b0026,2817,TRUE
YP_003043261.1,ECB_00031,b0027,495,TRUE
YP_003043262.1,ECB_00032,b0028,450,TRUE
YP_003043263.1,ECB_00033,b0029,951,TRUE
YP_003043264.1,ECB_00034,b0030,915,FALSE
YP_003043265.1,ECB_00035,b0031,822,TRUE
YP_003043266.1,ECB_00036,b0032,1149,TRUE
YP_003043267.1,ECB_00037,b0033,3222,TRUE
YP_003043268.1,ECB_00038,b0034,396,TRUE
YP_003043269.1,ECB_00039,b0035,591,TRUE
YP_003043270.1,ECB_00040,b0036,894,TRUE
YP_003043271.1,ECB_00041,b0037,1569,TRUE
YP_003043272.1,ECB_00043,b0039,1143,TRUE
YP_003043273.1,ECB_00044,b0040,1515,TRUE
YP_003043274.1,ECB_00045,b0041,771,TRUE
YP_003043275.1,ECB_00046,b0042,942,FALSE
YP_003043276.1,ECB_00047,b0043,1287,TRUE
YP_003043277.1,ECB_00048,b0044,288,FALSE
YP_003043278.1,ECB_00049,b0045,1332,FALSE
YP_003043279.1,ECB_00050,b0046,531,TRUE
YP_003043280.1,ECB_00051,b0047,1863,FALSE
YP_003043281.1,ECB_00052,b0048,480,TRUE
YP_003043282.1,ECB_00053,b0049,843,TRUE
YP_003043283.1,ECB_00054,b0050,378,TRUE
YP_003043284.1,ECB_00055,b0051,822,TRUE
YP_003043285.1,ECB_00056,b0052,990,TRUE
YP_003043286.1,ECB_00057,b0053,1287,FALSE
YP_003043287.1,ECB_00058,b0054,2355,TRUE
YP_003043288.1,ECB_00059,b0055,816,TRUE
YP_003043289.1,ECB_00060,b0058,660,TRUE
YP_003043290.1,ECB_00061,b0059,2907,FALSE
YP_003043291.1,ECB_00062,b0060,2352,FALSE
YP_003043292.1,ECB_00063,b0061,696,FALSE
YP_003043293.1,ECB_00064,b0062,1503,FALSE
YP_003043294.1,ECB_00065,b0063,1701,FALSE
YP_003043295.1,ECB_00066,b0064,879,FALSE
YP_003043296.1,ECB_00067,b0065,765,FALSE
YP_003043297.1,ECB_00068,b0066,699,FALSE
YP_003043298.1,ECB_00069,b0067,1611,FALSE
YP_003043299.1,ECB_00070,b0068,984,FALSE
YP_003043300.1,ECB_00071,b0069,1656,FALSE
YP_003043301.1,ECB_00072,b0070,1179,FALSE
YP_003043302.1,ECB_00073,b0071,606,FALSE
YP_003043303.1,ECB_00074,b0072,1401,FALSE
YP_003043304.1,ECB_00075,b0073,1092,FALSE
YP_003043305.1,ECB_00076,b0074,1572,FALSE
YP_003043306.1,ECB_00077,b0075,87,FALSE
YP_003043307.1,ECB_00078,b0076,945,FALSE
YP_003043308.1,ECB_00079,b0077,1725,FALSE
YP_003043309.1,ECB_00080,b0078,492,FALSE
YP_003043310.1,ECB_00081,b0080,1005,FALSE
YP_003043311.1,ECB_00082,b0081,459,FALSE
YP_003043312.1,ECB_00083,b0082,942,TRUE
YP_003043313.1,ECB_00084,b0083,366,TRUE
YP_003043314.1,ECB_00085,b0084,1767,TRUE
YP_003043315.1,ECB_00086,b0085,1488,TRUE
YP_003043316.1,ECB_00087,b0086,1359,TRUE
YP_003043317.1,ECB_00088,b0087,1083,TRUE
YP_003043318.1,ECB_00089,b0088,1317,TRUE
YP_003043319.1,ECB_00090,b0089,1245,TRUE
YP_003043320.1,ECB_00091,b0090,1068,TRUE
YP_003043321.1,ECB_00092,b0091,1476,TRUE
YP_003043322.1,ECB_00093,b0092,921,TRUE
YP_003043323.1,ECB_00094,b0093,831,TRUE
YP_003043324.1,ECB_00095,b0094,1263,TRUE
YP_003043325.1,ECB_00096,b0095,1152,TRUE
YP_003043326.1,ECB_00097,b0096,918,TRUE
YP_003043327.1,ECB_00098,b0097,513,TRUE
YP_003043328.1,ECB_00099,b0098,2706,FALSE
YP_003043329.1,ECB_00100,b0099,390,TRUE
YP_003043330.1,ECB_00101,b0101,198,FALSE
YP_003043331.1,ECB_00102,b0102,744,TRUE
YP_003043332.1,ECB_00103,b0103,621,TRUE
YP_003043333.1,ECB_00104,b0104,1044,FALSE
