locus_tag, sites, diversity
ECB_00002,820,0.0028744660328
ECB_00003,310,0.00328959358484
ECB_00004,428,0.00232588837848
ECB_00006,258,0.00804318311216
ECB_00007,476,0.00952380952381
ECB_00008,338,0.00894092869321
ECB_00009,196,0.00623486682809
ECB_00010,188,0.00273770885924
ECB_00013,134,0.0239733535711
ECB_00015,376,0.00237859117682
ECB_00029,313,0.0154257143373
ECB_00030,938,0.00478298579741
ECB_00031,164,0.00560493316798
ECB_00032,149,0.0
ECB_00033,329,0.00695997115038
ECB_00035,273,0.00527306967985
ECB_00036,391,0.0122256419148
ECB_00037,1073,0.0028785652982
ECB_00038,166,0.0282996392349
ECB_00039,203,0.0234755503604
ECB_00040,297,0.0627289847629
ECB_00041,522,0.021186440678
ECB_00043,380,0.000175438596491
ECB_00044,504,0.00279235046184
ECB_00045,277,0.0167574292766
ECB_00047,428,0.00294630128307
ECB_00050,176,0.0104744478685
ECB_00052,204,0.079472693032
ECB_00053,282,0.0136254357495
ECB_00054,125,0.0117288135593
ECB_00055,273,0.00363816973986
ECB_00056,329,0.015915374444
ECB_00058,785,0.00630681204793
ECB_00059,302,0.0156601938115
ECB_00060,219,0.00531434615484
ECB_00083,346,0.0115443649783
ECB_00084,121,0.00165289256198
ECB_00085,588,0.00198797032937
ECB_00086,495,0.0117536951435
ECB_00087,452,0.00628718564072
ECB_00088,360,0.001578782172
ECB_00089,438,0.00523953254392
ECB_00090,415,0.00383772377646
ECB_00091,355,0.00581841330469
ECB_00092,491,0.0015292208913
ECB_00093,306,0.00814223994683
ECB_00094,276,0.0015065913371
ECB_00095,420,0.0
ECB_00096,383,0.0
ECB_00097,305,0.000324164119663
ECB_00098,227,0.0636128325742
ECB_00100,132,0.0305683958226
ECB_00102,247,0.00381756215833
ECB_00103,206,0.00493664637156
ECB_00108,311,0.00816574926881
ECB_00109,183,0.010567750301
ECB_00110,284,0.00620275324262
ECB_00111,457,0.00487952626439
ECB_00112,254,0.00301837270341
ECB_00113,887,0.000643316199466
ECB_00115,495,0.00568852365463
ECB_00116,627,0.0834617360041
